chat_id,issue_type,prompt,reply_length,llm_score
1,late delivery,v3,206,80.6
2,payment problem,v3,367,70.7
3,late delivery,v3,272,78.4
4,late delivery,v3,186,80.5
5,late delivery,v3,192,78.7
6,late delivery,v2,161,75.1
7,wrong order,v3,317,72.1
8,wrong order,v2,316,67.9
9,wrong order,v2,204,57.5
10,late delivery,v3,238,77.3
11,wrong order,v3,311,71.0
12,payment problem,v2,338,77.4
13,payment problem,v2,290,67.0
14,late delivery,v3,211,73.3
15,late delivery,v3,250,78.2
16,missing item,v3,196,72.1
17,late delivery,v2,161,73.0
18,late delivery,v3,224,78.0
19,late delivery,v2,126,67.8
20,late delivery,v3,209,79.6
21,late delivery,v2,116,67.8
22,wrong order,v3,323,68.6
23,missing item,v2,316,79.5
24,late delivery,v2,134,69.8
25,late delivery,v2,153,66.5
26,late delivery,v3,235,81.6
27,missing item,v2,368,70.6
28,missing item,v3,179,66.7
29,late delivery,v2,219,77.1
30,missing item,v3,146,69.7
31,payment problem,v2,332,62.9
32,payment problem,v2,383,70.5
33,missing item,v3,258,74.3
34,payment problem,v3,337,62.2
35,late delivery,v2,187,66.6
36,late delivery,v3,190,75.5
37,late delivery,v3,143,65.4
38,payment problem,v3,261,65.0
39,wrong order,v3,296,75.4
40,wrong order,v2,334,75.8
41,late delivery,v2,141,68.2
42,late delivery,v2,283,76.8
43,payment problem,v3,369,72.9
44,missing item,v2,300,76.5
45,wrong order,v2,181,61.5
46,late delivery,v2,120,68.4
47,late delivery,v3,212,75.8
48,late delivery,v3,110,66.0
49,late delivery,v2,244,72.6
50,missing item,v2,140,62.1
51,late delivery,v3,198,75.2
52,missing item,v3,222,70.1
53,wrong order,v3,285,77.4
54,wrong order,v3,350,76.4
55,payment problem,v3,270,69.4
56,late delivery,v2,182,72.0
57,payment problem,v2,427,69.6
58,late delivery,v3,210,77.7
59,payment problem,v3,304,64.8
60,wrong order,v3,262,66.8
61,wrong order,v2,310,73.6
62,late delivery,v2,127,62.5
63,wrong order,v3,248,68.2
64,late delivery,v2,221,75.4
65,late delivery,v3,157,71.5
66,late delivery,v2,162,62.0
67,missing item,v3,183,71.5
68,late delivery,v3,305,91.0
69,payment problem,v2,244,55.1
70,missing item,v3,261,75.8
71,late delivery,v2,227,71.9
72,payment problem,v2,315,67.7
73,late delivery,v3,247,77.1
74,wrong order,v2,225,64.4
75,late delivery,v3,232,82.6
76,late delivery,v2,73,66.4
77,missing item,v3,308,80.8
78,missing item,v3,210,72.8
79,late delivery,v2,168,72.6
80,late delivery,v2,171,76.2
81,late delivery,v3,206,81.0
82,late delivery,v2,74,63.7
83,payment problem,v2,413,71.4
84,missing item,v2,221,75.9
85,wrong order,v3,268,61.7
86,missing item,v2,243,71.1
87,late delivery,v3,248,78.0
88,missing item,v3,172,70.0
89,payment problem,v2,261,52.1
90,wrong order,v3,222,58.4
91,late delivery,v3,161,73.6
92,wrong order,v3,214,68.1
93,wrong order,v2,243,62.5
94,payment problem,v3,250,67.0
95,late delivery,v2,115,70.9
96,missing item,v2,289,72.4
97,wrong order,v3,254,64.5
98,missing item,v3,156,66.5
99,late delivery,v3,267,85.2
100,payment problem,v3,299,73.4
101,late delivery,v3,200,72.9
102,missing item,v3,228,72.0
103,wrong order,v3,172,66.2
104,missing item,v2,151,63.7
105,missing item,v3,207,68.3
106,missing item,v2,257,68.9
107,missing item,v2,219,67.8
108,wrong order,v3,195,59.2
109,missing item,v3,153,64.1
110,late delivery,v3,206,77.0
111,wrong order,v2,302,68.6
112,late delivery,v2,224,76.4
113,wrong order,v2,282,70.0
114,missing item,v3,241,73.4
115,late delivery,v3,148,73.9
116,late delivery,v2,253,75.2
117,wrong order,v2,214,55.6
118,missing item,v3,258,72.2
119,missing item,v2,206,67.4
120,wrong order,v3,273,74.3
121,late delivery,v3,145,73.8
122,missing item,v3,307,82.5
123,late delivery,v3,230,77.0
124,late delivery,v2,133,66.7
125,late delivery,v3,232,78.6
126,late delivery,v2,139,68.0
127,wrong order,v3,258,69.8
128,wrong order,v3,264,69.6
129,payment problem,v3,285,67.4
130,late delivery,v3,123,71.8
131,late delivery,v2,170,71.9
132,missing item,v3,207,70.9
133,late delivery,v3,220,80.7
134,late delivery,v3,233,75.4
135,late delivery,v3,244,84.2
136,missing item,v2,145,59.6
137,wrong order,v3,201,62.0
138,wrong order,v3,296,71.8
139,late delivery,v2,130,63.3
140,wrong order,v2,289,70.1
141,late delivery,v2,210,67.8
142,late delivery,v3,169,70.3
143,wrong order,v2,127,53.4
144,late delivery,v2,60,57.5
145,wrong order,v2,214,60.9
146,payment problem,v2,304,64.1
147,late delivery,v2,210,79.2
148,payment problem,v3,338,67.5
149,payment problem,v2,258,68.6
150,missing item,v3,193,69.2
151,late delivery,v2,190,75.1
152,missing item,v3,187,67.6
153,missing item,v2,193,66.9
154,wrong order,v2,314,71.3
155,late delivery,v3,215,79.1
156,payment problem,v3,318,73.7
157,missing item,v3,212,75.5
158,missing item,v2,302,80.2
159,wrong order,v2,260,68.4
160,late delivery,v2,197,73.2
161,late delivery,v2,146,69.5
162,payment problem,v2,283,58.4
163,missing item,v3,256,79.9
164,wrong order,v2,193,54.0
165,late delivery,v2,227,84.1
166,late delivery,v3,178,75.3
167,wrong order,v3,224,62.9
168,wrong order,v3,277,76.3
169,late delivery,v3,172,77.1
170,payment problem,v2,188,55.9
171,payment problem,v2,228,59.2
172,wrong order,v2,434,83.2
173,missing item,v2,260,74.1
174,late delivery,v3,335,86.9
175,late delivery,v2,193,76.6
176,late delivery,v2,126,73.2
177,payment problem,v2,352,74.9
178,missing item,v2,254,71.5
179,late delivery,v2,187,74.0
180,late delivery,v2,208,79.9
181,late delivery,v2,89,62.0
182,missing item,v3,264,80.5
183,wrong order,v2,235,72.6
184,missing item,v3,227,72.7
185,late delivery,v2,163,70.9
186,late delivery,v2,174,66.9
187,late delivery,v2,308,81.6
188,late delivery,v3,238,76.5
189,missing item,v2,144,64.7
190,payment problem,v3,424,82.0
191,wrong order,v3,165,55.4
192,missing item,v2,219,73.8
193,wrong order,v3,303,70.3
194,payment problem,v2,302,59.1
195,missing item,v3,176,71.6
196,late delivery,v2,259,79.4
197,missing item,v3,239,72.5
198,late delivery,v3,233,79.1
199,wrong order,v3,239,66.0
200,payment problem,v2,393,73.8
201,wrong order,v2,268,66.7
202,payment problem,v3,256,66.9
