team_id,n_devs,stack
1,7,frontend
2,12,frontend
3,4,backend
4,7,frontend
5,12,backend
6,7,mobile
7,10,backend
8,13,frontend
9,10,mobile
10,11,data
11,12,backend
12,7,backend
13,12,frontend
14,13,data
15,12,frontend
16,8,data
17,13,backend
18,13,data
19,4,frontend
20,11,frontend
21,5,mobile
22,4,backend
23,4,frontend
24,12,data
25,6,frontend
26,8,mobile
27,11,backend
28,14,frontend
29,5,mobile
30,11,mobile
31,6,frontend
32,10,backend
33,10,mobile
34,14,frontend
35,8,backend
36,14,frontend
37,4,backend
38,14,data
39,14,frontend
40,5,mobile
41,5,backend
42,9,backend
43,9,mobile
44,11,frontend
45,9,data
46,11,frontend
47,12,backend
48,13,data
49,9,frontend
50,9,data
51,7,backend
52,13,frontend
53,4,data
54,6,data
55,10,backend
56,11,mobile
57,5,frontend
58,10,mobile
59,15,mobile
60,7,backend
61,12,backend
62,15,frontend
63,9,backend
64,5,mobile
65,13,frontend
66,9,backend
67,11,mobile
68,13,frontend
69,5,mobile
70,8,frontend
71,14,backend
72,6,backend
73,10,backend
74,10,frontend
75,9,backend
76,5,frontend
77,4,backend
78,4,backend
79,8,frontend
80,13,mobile
81,9,backend
82,15,backend
83,8,frontend
84,4,data
85,15,data
86,5,data
87,10,backend
88,11,mobile
89,12,backend
90,12,mobile
91,8,frontend
92,9,data
93,4,backend
94,8,frontend
95,10,data
96,11,backend
97,6,mobile
98,11,backend
99,14,data
100,11,frontend
101,6,frontend
102,14,data
103,5,frontend
104,6,frontend
105,9,data
106,4,frontend
107,6,data
108,10,frontend
109,8,backend
110,10,backend
111,12,backend
112,10,mobile
113,4,backend
114,4,data
115,10,frontend
116,13,frontend
117,9,frontend
118,4,backend
119,14,backend
120,6,backend
