team_id,week,assistant,merged_per_dev,pr_size,in_review
1,1,0,3.578,230.6,0
1,2,0,3.661,236.1,0
1,3,0,4.374,262.3,1
1,4,0,4.242,191.2,0
1,5,0,3.254,276.8,0
1,6,0,2.305,231.5,1
1,7,0,4.45,208.8,0
1,8,0,4.428,208.7,0
1,9,0,4.061,233.8,0
1,10,0,4.669,183.8,0
1,11,0,2.461,204.5,1
1,12,0,4.659,168.8,0
2,1,0,1.861,300.7,1
2,2,0,5.345,122.4,0
2,3,0,5.577,216.4,0
2,4,0,5.381,143.9,0
2,5,0,5.578,164.4,0
2,6,0,4.715,192.2,0
2,7,1,6.405,155.8,0
2,8,1,4.922,133.2,1
2,9,1,5.508,120.2,1
2,10,1,3.996,149.5,1
2,11,1,5.406,201.1,0
2,12,1,4.858,210.0,1
3,1,0,5.221,200.4,0
3,2,0,2.784,379.5,1
3,3,0,4.277,215.0,1
3,4,0,5.105,308.7,0
3,5,0,5.562,313.2,0
3,6,0,3.848,282.4,1
3,7,1,5.379,234.5,1
3,8,1,5.731,249.3,0
3,9,1,5.782,238.1,0
3,10,1,4.986,264.5,0
3,11,1,6.275,182.8,0
3,12,1,5.447,138.6,0
4,1,0,5.613,224.5,0
4,2,0,6.238,144.5,0
4,3,0,6.282,185.5,0
4,4,0,5.624,230.4,0
4,5,0,5.423,150.4,1
4,6,0,6.893,203.3,0
4,7,1,6.987,227.3,1
4,8,1,6.101,123.8,1
4,9,1,6.659,181.9,1
4,10,1,5.6,150.9,1
4,11,1,7.345,75.4,0
4,12,1,6.579,185.7,0
5,1,0,4.953,209.4,0
5,2,0,5.05,327.0,1
5,3,0,6.207,150.3,0
5,4,0,4.306,266.0,1
5,5,0,3.485,291.4,1
5,6,0,4.478,297.3,0
5,7,1,7.15,275.1,0
5,8,1,5.497,228.2,1
5,9,1,7.133,154.1,0
5,10,1,6.531,185.3,0
5,11,1,6.918,206.5,0
5,12,1,7.78,196.1,0
6,1,0,6.129,165.9,0
6,2,0,6.446,107.1,0
6,3,0,5.317,268.3,1
6,4,0,5.868,227.8,0
6,5,0,5.674,202.2,0
6,6,0,6.379,209.9,0
6,7,1,6.184,161.8,1
6,8,1,5.891,173.1,1
6,9,1,6.797,199.3,0
6,10,1,7.031,196.1,0
6,11,1,6.891,150.6,0
6,12,1,6.882,208.7,0
7,1,0,4.734,244.8,1
7,2,0,4.699,227.5,0
7,3,0,3.657,233.4,1
7,4,0,3.554,239.9,1
7,5,0,3.87,220.0,0
7,6,0,6.039,245.1,0
7,7,1,4.629,169.4,1
7,8,1,6.168,181.0,0
7,9,1,5.98,152.9,0
7,10,1,4.278,179.6,1
7,11,1,6.5,142.7,0
7,12,1,5.649,224.0,0
8,1,0,2.578,196.9,0
8,2,0,4.999,301.8,0
8,3,0,3.88,243.3,0
8,4,0,2.717,233.8,0
8,5,0,3.909,277.2,0
8,6,0,2.449,237.3,0
8,7,0,3.355,242.7,0
8,8,0,3.445,143.4,0
8,9,0,2.529,281.1,1
8,10,0,2.167,264.8,1
8,11,0,2.5,212.3,1
8,12,0,5.237,197.0,0
9,1,0,4.401,277.1,1
9,2,0,5.003,176.3,0
9,3,0,3.703,248.4,1
9,4,0,5.438,265.7,0
9,5,0,4.979,284.9,0
9,6,0,4.247,252.7,0
9,7,1,3.724,131.1,1
9,8,1,5.51,172.0,0
9,9,1,4.798,184.8,1
9,10,1,4.92,225.6,1
9,11,1,4.009,196.1,1
9,12,1,4.672,143.8,0
10,1,0,3.794,257.1,1
10,2,0,5.484,285.9,0
10,3,0,4.371,252.2,0
10,4,0,1.886,353.0,1
10,5,0,4.978,207.9,0
10,6,0,3.303,245.7,1
10,7,1,5.159,212.8,0
10,8,1,4.975,250.2,1
10,9,1,3.73,132.7,1
10,10,1,6.351,179.5,0
10,11,1,6.44,166.5,0
10,12,1,4.567,287.7,1
11,1,0,5.226,198.1,1
11,2,0,5.747,229.3,1
11,3,0,5.889,251.0,0
11,4,0,7.326,200.1,0
11,5,0,6.136,221.4,0
11,6,0,5.789,151.9,0
11,7,1,4.857,273.9,1
11,8,1,7.739,123.7,0
11,9,1,5.115,164.3,1
11,10,1,6.003,181.9,1
11,11,1,5.45,177.2,1
11,12,1,8.1,212.4,0
12,1,0,4.898,202.8,0
12,2,0,5.283,211.4,0
12,3,0,3.92,194.8,0
12,4,0,4.28,255.2,0
12,5,0,4.644,250.9,0
12,6,0,4.371,193.2,0
12,7,1,4.935,91.7,0
12,8,1,2.39,153.0,1
12,9,1,6.161,103.2,0
12,10,1,3.718,165.7,1
12,11,1,5.066,122.4,0
12,12,1,5.077,218.0,1
13,1,0,2.728,186.9,1
13,2,0,3.744,160.2,1
13,3,0,4.076,209.4,1
13,4,0,6.124,182.3,0
13,5,0,4.04,180.2,1
13,6,0,4.741,215.3,0
13,7,1,4.63,112.2,1
13,8,1,5.354,138.0,0
13,9,1,5.122,148.9,1
13,10,1,5.532,117.0,0
13,11,1,4.516,95.9,1
13,12,1,6.117,236.5,0
14,1,0,3.263,201.1,0
14,2,0,3.889,136.8,0
14,3,0,4.893,211.6,0
14,4,0,2.329,222.4,1
14,5,0,2.613,203.4,1
14,6,0,4.238,209.1,0
