chat_id,minutes_late,prompt,reply_length,rating
1,24.6,v2,100,59.59
2,49.2,v2,306,65.33
3,25.5,v1,229,62.7
4,11.7,v2,234,68.32
5,29.7,v2,220,59.24
6,17.2,v1,201,67.87
7,17.6,v2,250,71.0
8,9.0,v1,176,71.65
9,34.7,v2,325,74.86
10,11.4,v2,297,82.43
11,23.0,v2,197,63.97
12,27.1,v2,230,64.51
13,22.8,v2,251,71.35
14,44.4,v2,177,56.04
15,1.9,v1,150,65.71
16,18.4,v1,148,64.35
17,13.5,v2,327,79.87
18,56.3,v1,136,46.25
19,40.3,v2,263,59.63
20,47.2,v2,442,72.47
21,43.3,v2,216,59.45
22,54.8,v2,159,52.49
23,20.7,v1,216,72.14
24,36.9,v1,301,70.95
25,15.2,v1,144,60.71
26,10.8,v1,256,77.34
27,24.5,v1,286,65.01
28,9.0,v1,148,73.14
29,9.2,v1,250,73.09
30,3.4,v1,193,71.28
31,53.7,v2,188,55.63
32,1.9,v1,328,81.44
33,48.5,v2,301,63.18
34,5.9,v2,204,75.14
35,54.9,v2,325,63.62
36,55.2,v2,225,52.83
37,9.3,v1,214,75.2
38,46.0,v2,174,53.78
39,3.0,v1,285,77.23
40,21.9,v1,176,65.39
41,56.4,v2,162,50.91
42,24.9,v1,172,70.72
43,42.5,v2,219,57.52
44,44.8,v2,286,59.88
45,20.9,v1,280,71.53
46,37.6,v2,232,64.73
47,35.4,v1,150,53.94
48,50.9,v2,233,53.49
49,25.4,v1,267,60.05
50,28.2,v2,230,74.81
51,41.6,v2,219,64.36
52,43.5,v1,79,44.37
53,14.8,v1,167,73.8
54,1.4,v1,198,76.77
55,37.1,v2,305,77.97
56,45.2,v1,160,53.09
57,36.6,v2,218,65.25
58,5.4,v2,247,78.53
59,5.4,v2,242,74.35
60,34.4,v1,192,59.85
61,12.0,v1,185,75.71
62,35.6,v1,259,68.72
63,23.9,v1,187,67.76
64,25.2,v2,242,71.17
65,10.0,v2,211,73.11
66,1.1,v1,106,62.24
67,49.3,v2,272,63.6
68,18.6,v1,237,67.67
69,17.2,v1,192,68.74
70,46.4,v2,175,61.42
71,41.7,v1,149,56.75
72,55.2,v2,249,59.46
73,9.1,v1,188,74.96
74,20.5,v1,115,66.81
75,53.7,v2,313,64.86
76,58.9,v2,215,60.68
77,28.5,v2,312,69.14
78,20.1,v2,190,66.11
79,55.8,v2,285,58.33
80,39.7,v1,137,48.56
81,32.0,v1,135,52.05
82,26.3,v1,188,62.83
83,9.3,v1,191,78.69
84,18.1,v2,194,66.4
85,58.6,v2,223,50.31
86,27.8,v1,275,70.27
87,30.4,v1,221,63.15
88,48.9,v2,168,58.72
89,25.5,v1,254,62.17
90,31.7,v2,186,55.33
91,22.5,v1,139,57.99
92,38.2,v1,170,53.22
93,17.2,v1,194,66.68
94,31.8,v2,256,68.85
95,50.8,v2,279,57.49
96,53.3,v2,237,43.7
97,18.8,v2,292,79.03
98,56.2,v2,223,53.44
99,2.5,v1,258,75.72
100,28.7,v2,233,68.32
101,9.2,v2,197,74.66
102,20.2,v1,237,80.51
103,46.3,v2,284,66.93
104,31.9,v2,323,72.12
105,52.8,v2,308,58.37
106,17.9,v1,208,70.26
107,34.0,v1,239,68.69
108,53.9,v2,170,58.19
109,19.7,v2,242,74.35
110,53.5,v1,199,51.59
111,15.8,v1,183,69.75
112,32.0,v1,118,57.53
113,35.2,v1,203,63.3
114,52.5,v2,273,58.19
115,17.3,v2,152,71.03
116,57.8,v2,284,62.18
117,57.3,v2,308,56.42
118,4.9,v1,190,77.09
119,30.0,v2,186,63.15
120,21.4,v2,271,71.49
121,17.4,v2,269,74.48
122,3.6,v1,276,76.76
123,26.0,v1,215,61.59
124,40.3,v1,209,65.11
125,21.4,v1,241,69.75
126,33.2,v1,268,62.19
127,47.4,v2,289,68.2
128,10.4,v1,202,72.0
129,25.6,v2,205,66.97
130,40.7,v2,117,55.51
131,38.0,v2,372,72.64
132,45.2,v2,226,52.85
133,41.3,v2,213,54.13
134,21.5,v1,227,68.9
135,6.1,v1,125,70.42
136,16.3,v1,318,78.53
137,27.8,v2,293,74.25
138,59.1,v2,134,51.69
139,24.2,v2,218,67.45
140,24.9,v1,129,60.63
141,21.9,v1,154,62.67
142,17.8,v2,267,78.27
143,57.2,v2,326,57.95
144,34.4,v2,227,61.38
145,19.5,v1,243,74.18
146,19.0,v2,143,61.83
147,3.4,v1,263,84.69
148,34.0,v2,199,51.25
149,11.5,v2,239,73.44
150,50.0,v2,293,67.18
151,30.9,v1,234,65.7
152,7.4,v1,195,72.58
153,58.7,v2,174,46.84
154,24.1,v1,195,61.14
155,52.8,v1,236,51.96
156,21.4,v1,206,64.25
157,9.4,v1,190,73.32
158,24.0,v1,174,62.17
159,16.6,v2,238,73.06
160,13.3,v1,141,68.86
161,1.4,v1,194,74.82
162,48.6,v2,125,54.45
163,13.9,v1,148,63.06
164,47.7,v2,275,52.7
165,39.1,v1,260,64.86
166,3.8,v1,187,74.81
167,43.1,v2,385,71.11
168,0.5,v1,229,71.45
169,10.7,v1,251,74.26
170,33.3,v1,206,63.72
171,50.4,v1,297,60.61
172,15.2,v2,283,74.32
173,26.3,v2,249,68.1
174,3.1,v1,173,80.68
175,13.3,v2,185,70.46
176,34.4,v2,270,67.68
177,7.5,v2,263,83.79
178,4.8,v1,152,69.18
179,8.4,v1,175,74.18
180,42.3,v1,216,53.4
181,54.3,v2,265,59.4
182,12.6,v1,303,82.45
183,39.2,v2,230,62.89
184,20.4,v2,175,64.29
185,37.0,v2,147,57.44
186,11.9,v1,170,60.22
187,40.6,v2,209,61.73
188,51.9,v2,165,51.08
189,51.8,v2,310,58.56
190,47.0,v1,203,56.09
191,57.7,v2,272,59.91
192,59.9,v2,217,50.38
193,24.5,v1,197,63.94
194,49.7,v1,208,56.95
195,46.6,v2,291,61.95
196,9.5,v1,271,81.83
197,39.8,v1,127,50.79
198,27.8,v2,184,61.16
199,36.0,v2,195,62.34
200,56.9,v2,222,54.42
201,11.3,v1,191,70.18
202,58.0,v2,247,55.39
203,43.9,v1,211,62.66
204,15.2,v1,266,75.84
205,39.5,v2,230,59.48
206,9.5,v2,287,84.45
207,11.6,v2,302,84.38
208,6.1,v1,210,70.22
209,45.8,v2,208,56.49
210,49.5,v2,309,67.25
211,5.7,v1,264,68.7
212,38.6,v1,85,52.33
213,19.9,v2,138,64.96
214,41.2,v1,261,57.88
215,50.5,v2,283,62.39
216,52.5,v2,276,60.93
217,46.6,v2,244,56.88
218,15.5,v1,154,70.61
219,33.7,v2,213,62.7
220,40.7,v2,244,58.93
221,46.5,v2,338,67.36
222,5.3,v1,210,77.12
223,22.0,v1,192,69.16
224,52.5,v1,167,45.93
225,59.9,v2,69,51.31
226,39.8,v2,327,73.09
227,38.6,v1,142,58.7
228,15.0,v1,240,78.47
229,44.3,v2,213,62.64
230,14.1,v2,269,72.73
231,29.6,v2,293,71.79
232,58.8,v2,218,44.15
233,19.2,v1,193,76.11
234,25.7,v1,159,65.2
235,27.6,v2,227,66.41
236,10.9,v1,250,74.71
237,45.7,v2,221,56.77
238,25.7,v1,202,66.85
239,0.9,v1,243,86.66
240,9.7,v1,160,73.3
241,7.0,v1,220,73.37
242,55.6,v2,303,63.47
243,25.9,v1,162,59.58
244,14.0,v1,223,66.62
245,15.9,v1,206,66.36
246,34.8,v2,203,62.85
247,0.5,v1,305,75.82
248,52.7,v2,244,56.56
249,1.8,v1,270,77.58
250,15.9,v2,332,78.96
251,27.7,v2,184,62.82
252,53.3,v2,166,52.4
253,44.7,v1,165,56.81
254,33.8,v1,168,64.02
255,4.8,v1,249,80.07
256,44.4,v2,279,62.48
257,4.3,v2,264,78.2
258,48.2,v2,174,57.98
259,49.3,v2,222,56.45
260,32.9,v1,209,64.68
261,38.0,v1,180,60.06
262,16.4,v2,292,73.72
263,59.4,v2,154,51.05
264,8.8,v1,198,71.14
265,59.5,v2,266,59.02
266,19.5,v1,165,62.22
267,25.0,v2,272,70.38
268,36.7,v1,231,55.36
269,43.3,v2,259,61.8
270,16.5,v1,291,76.31
271,8.1,v2,198,78.09
272,31.3,v1,103,49.17
273,49.1,v2,181,57.5
274,28.4,v1,319,75.35
275,56.7,v2,214,49.88
276,16.1,v1,119,65.2
277,14.3,v2,256,69.01
278,56.6,v1,165,48.79
279,46.1,v1,288,57.67
280,39.4,v2,239,62.65
281,15.3,v1,136,71.77
282,13.3,v1,-20,53.16
283,38.4,v2,212,61.24
284,9.5,v1,209,70.04
285,42.8,v2,284,66.23
286,33.2,v1,235,65.03
287,10.3,v1,189,68.63
288,2.2,v2,246,84.27
289,40.6,v2,237,63.81
290,58.2,v2,223,55.4
291,19.9,v2,305,77.24
292,19.7,v1,190,64.44
293,45.2,v2,197,54.64
294,20.8,v2,174,73.96
295,34.0,v2,355,72.16
296,28.2,v2,218,69.93
297,12.3,v1,263,79.2
298,10.2,v1,233,72.57
299,31.6,v2,213,63.78
300,18.5,v2,302,70.83
301,36.3,v1,275,63.34
302,40.0,v2,338,66.44
303,25.3,v1,221,59.76
304,1.6,v1,120,64.86
305,21.8,v1,199,62.93
306,38.3,v1,146,55.07
307,27.8,v1,184,64.21
308,34.8,v2,228,76.22
309,9.6,v1,229,67.91
310,52.0,v2,216,65.83
311,47.7,v2,241,60.81
312,37.7,v2,191,58.19
313,59.0,v1,195,49.46
314,44.6,v2,264,65.84
315,14.4,v1,295,70.78
316,51.0,v2,246,66.27
317,27.0,v1,144,62.09
318,50.1,v2,308,58.56
319,28.6,v1,153,61.68
320,34.6,v2,164,56.96
321,31.7,v2,193,64.84
322,15.0,v1,224,61.66
323,56.1,v2,199,49.74
324,30.1,v2,311,66.51
325,31.0,v2,214,61.68
326,9.0,v1,170,70.09
327,45.5,v2,240,63.37
328,4.7,v1,234,76.41
329,39.2,v1,179,53.46
330,32.7,v1,267,69.06
331,42.2,v2,270,61.17
332,15.6,v1,218,76.59
333,0.1,v1,149,72.31
334,5.1,v1,229,76.25
335,36.3,v2,185,57.9
336,32.2,v2,286,72.32
337,15.1,v1,257,71.82
338,59.3,v2,252,51.26
339,1.8,v1,114,68.09
340,6.7,v1,203,70.92
341,4.2,v1,179,73.48
342,41.4,v2,255,61.34
343,51.4,v2,232,56.81
344,31.4,v1,172,55.77
345,36.5,v1,217,56.9
346,40.6,v1,221,53.32
347,28.8,v2,228,63.77
348,42.1,v2,329,67.02
349,32.5,v1,232,60.38
350,3.7,v1,196,80.51
351,53.7,v2,276,62.55
352,32.6,v1,224,61.89
353,39.2,v2,336,73.92
354,59.4,v2,331,55.87
355,42.0,v2,239,67.13
356,52.3,v2,247,62.65
357,5.2,v1,201,76.08
358,38.0,v2,325,80.16
359,58.4,v2,242,52.16
360,1.4,v1,221,81.15
361,24.9,v1,328,69.06
362,0.9,v1,212,79.59
363,1.0,v1,230,75.3
364,21.6,v1,202,64.76
365,6.6,v1,215,69.31
366,52.1,v2,175,50.98
367,16.2,v1,248,76.2
368,57.9,v2,216,51.0
369,21.2,v2,200,66.43
370,14.0,v1,211,68.6
371,14.0,v2,316,79.34
372,11.6,v2,241,72.88
373,42.3,v2,181,56.95
374,5.9,v1,250,78.72
375,16.8,v1,104,58.36
376,30.9,v2,210,61.92
377,31.8,v1,234,63.13
378,10.7,v1,100,62.67
379,3.4,v1,400,89.65
380,13.2,v1,255,72.57
381,34.7,v2,196,56.27
382,15.0,v1,167,63.55
383,1.9,v1,238,77.38
384,55.7,v2,197,58.51
385,28.7,v1,257,64.33
386,15.7,v2,258,69.75
387,13.4,v1,279,75.76
388,36.3,v2,236,67.38
389,53.4,v2,260,53.85
390,18.6,v2,205,72.29
391,29.8,v1,160,55.73
392,51.9,v2,211,54.76
393,44.1,v2,316,65.56
394,58.9,v2,283,51.04
395,51.1,v2,201,56.94
396,47.1,v2,185,62.13
397,16.1,v1,249,69.48
398,15.2,v1,250,73.66
399,22.8,v1,207,63.36
400,38.7,v2,178,58.18
401,19.0,v1,64,63.74
402,20.0,v2,220,75.21
403,45.2,v1,243,57.98
404,35.3,v2,234,60.48
405,54.2,v2,224,57.21
406,53.8,v2,241,54.43
407,1.5,v1,255,81.53
408,5.1,v1,178,78.02
409,29.6,v1,129,59.61
410,5.4,v2,231,77.86
411,15.3,v1,164,67.21
412,7.3,v1,185,70.55
413,6.8,v1,148,70.31
414,55.0,v1,228,55.22
415,21.0,v1,213,62.06
416,41.5,v2,243,64.67
417,47.8,v1,209,49.14
418,52.6,v2,301,61.93
419,6.4,v1,165,76.7
420,44.8,v2,202,57.07
421,13.7,v1,179,72.91
422,26.2,v1,214,70.03
423,38.7,v2,274,63.79
424,27.1,v2,285,73.81
425,33.6,v1,221,53.74
426,51.3,v2,348,66.07
