chat_id,minutes_late,escalated,rating_v1,rating_v2
1,26.5,0,61.82,66.0
2,59.4,1,46.31,52.34
3,16.2,1,71.33,74.63
4,12.4,1,80.63,83.49
5,39.0,1,58.27,63.23
6,5.7,0,71.71,74.84
7,5.3,0,70.61,73.17
8,47.6,1,57.03,61.73
9,11.7,0,63.45,66.59
10,5.5,0,77.11,79.21
11,13.6,0,71.71,75.38
12,31.1,1,66.86,71.02
13,33.6,1,63.07,67.59
14,5.1,1,66.57,69.32
15,22.2,1,60.27,64.03
16,58.7,1,49.94,55.47
17,27.8,1,61.73,66.1
18,42.1,1,57.38,62.39
19,31.4,1,61.6,65.72
20,46.2,1,57.27,62.75
21,10.9,0,72.49,75.23
22,54.3,1,56.18,62.45
23,52.9,1,55.7,60.96
24,37.4,1,66.92,71.03
25,23.1,1,61.65,65.28
26,9.5,1,74.67,77.32
27,52.0,1,57.38,63.09
28,29.5,0,63.41,67.85
29,26.4,1,64.34,68.56
30,9.8,0,81.83,84.76
31,43.8,0,62.02,66.11
32,20.0,0,70.18,73.92
33,58.4,1,44.86,49.91
34,10.4,1,71.3,74.31
35,48.7,1,51.39,56.99
36,28.5,0,60.24,64.2
37,57.1,1,50.9,57.01
38,20.9,0,65.61,69.66
39,45.3,1,53.37,58.96
40,54.8,1,43.38,49.2
41,20.3,0,68.69,71.86
42,38.6,1,60.99,65.42
43,16.4,0,61.88,64.9
44,36.5,0,63.06,67.46
45,12.3,0,72.96,76.63
46,36.2,1,58.09,62.43
47,25.5,0,67.19,71.28
48,52.8,1,48.44,53.91
49,22.6,0,70.47,74.66
50,29.9,1,59.08,62.71
51,28.7,1,66.12,69.99
52,29.4,0,65.59,69.98
53,58.9,0,51.11,56.68
54,57.0,0,60.45,65.45
55,6.2,1,72.31,74.99
56,60.0,1,51.97,58.91
57,26.0,0,69.67,72.8
58,57.9,1,50.24,56.1
59,2.4,0,69.52,71.85
60,46.7,1,54.57,59.55
61,52.8,1,52.69,58.1
62,23.3,1,64.19,67.51
63,25.6,1,67.08,70.92
64,14.8,0,64.29,67.58
65,16.1,0,61.44,64.43
66,39.5,1,48.13,53.51
67,0.9,0,74.75,77.37
68,41.8,1,54.42,59.41
69,49.3,1,57.49,62.79
70,43.1,1,58.0,62.8
71,35.6,0,58.2,62.0
72,34.2,1,55.14,59.43
73,52.5,1,58.41,63.66
74,57.1,1,53.23,59.04
75,42.5,1,52.82,57.77
76,10.7,0,78.05,81.1
77,12.0,0,70.98,74.4
78,3.5,1,74.8,77.17
79,0.8,0,76.86,78.72
80,48.4,1,59.21,64.73
81,29.8,0,61.38,65.03
82,43.0,0,56.43,61.22
83,51.0,0,54.27,60.12
84,13.2,1,65.17,68.83
85,30.8,1,66.36,70.22
86,8.6,0,72.81,75.99
87,12.3,0,78.65,81.04
88,13.5,0,70.19,73.12
89,1.8,0,77.49,80.08
90,38.2,0,54.85,59.32
