chat_id,minutes_late,prompt,reply_length,rating
1,26.5,v1,181,61.82
2,59.4,v1,160,46.31
3,16.2,v2,256,74.63
4,12.4,v2,373,83.49
5,39.0,v2,267,63.23
6,5.7,v2,211,74.84
7,5.3,v2,210,73.17
8,47.6,v1,264,57.03
9,11.7,v2,158,66.59
10,5.5,v2,281,79.21
11,13.6,v2,278,75.38
12,31.1,v2,322,71.02
13,33.6,v1,214,63.07
14,5.1,v2,160,69.32
15,22.2,v2,178,64.03
16,58.7,v2,258,55.47
17,27.8,v1,173,61.73
18,42.1,v2,237,62.39
19,31.4,v1,191,61.6
20,46.2,v1,225,57.27
21,10.9,v1,217,72.49
22,54.3,v1,241,56.18
23,52.9,v2,287,60.96
24,37.4,v1,292,66.92
25,23.1,v1,136,61.65
26,9.5,v2,279,77.32
27,52.0,v2,314,63.09
28,29.5,v2,237,67.85
29,26.4,v2,242,68.56
30,9.8,v1,324,81.83
31,43.8,v1,273,62.02
32,20.0,v1,275,70.18
33,58.4,v1,122,44.86
34,10.4,v2,246,74.31
35,48.7,v2,188,56.99
36,28.5,v2,207,64.2
37,57.1,v2,259,57.01
38,20.9,v1,179,65.61
39,45.3,v2,207,58.96
40,54.8,v1,87,43.38
41,20.3,v1,226,68.69
42,38.6,v1,220,60.99
43,16.4,v1,131,61.88
44,36.5,v1,236,63.06
45,12.3,v2,267,76.63
46,36.2,v1,196,58.09
47,25.5,v1,222,67.19
48,52.8,v1,129,48.44
49,22.6,v2,330,74.66
50,29.9,v2,181,62.71
51,28.7,v2,276,69.99
52,29.4,v2,275,69.98
53,58.9,v2,257,56.68
54,57.0,v2,372,65.45
55,6.2,v1,185,72.31
56,60.0,v2,282,58.91
57,26.0,v2,314,72.8
58,57.9,v2,265,56.1
59,2.4,v1,121,69.52
60,46.7,v1,189,54.57
61,52.8,v2,255,58.1
62,23.3,v1,184,64.19
63,25.6,v1,225,67.08
64,14.8,v1,126,64.29
65,16.1,v1,112,61.44
66,39.5,v1,73,48.13
67,0.9,v1,162,74.75
68,41.8,v2,175,59.41
69,49.3,v1,263,57.49
70,43.1,v2,257,62.8
71,35.6,v1,165,58.2
72,34.2,v1,146,55.14
73,52.5,v1,287,58.41
74,57.1,v2,277,59.04
75,42.5,v2,165,57.77
76,10.7,v1,284,78.05
77,12.0,v2,265,74.4
78,3.5,v1,218,74.8
79,0.8,v2,280,78.72
80,48.4,v1,280,59.21
81,29.8,v2,207,65.03
82,43.0,v1,204,56.43
83,51.0,v2,239,60.12
84,13.2,v2,179,68.83
85,30.8,v2,308,70.22
86,8.6,v2,251,75.99
87,12.3,v1,316,78.65
88,13.5,v1,204,70.19
89,1.8,v2,271,80.08
90,38.2,v1,174,54.85
91,29.6,v1,149,59.51
92,34.5,v2,135,56.33
93,43.7,v1,204,55.57
94,2.7,v1,135,69.82
95,1.6,v1,212,76.41
96,47.3,v2,218,61.21
97,11.2,v1,176,67.05
98,32.3,v1,117,55.24
99,15.9,v2,321,75.2
100,26.9,v1,200,64.2
101,46.0,v2,298,64.96
102,58.8,v1,130,44.33
103,21.3,v2,359,78.61
104,6.0,v2,219,73.43
105,5.5,v2,242,76.56
106,26.7,v2,264,68.96
107,36.3,v1,223,59.71
108,55.9,v2,188,53.49
109,15.2,v2,206,70.19
110,50.1,v2,329,67.14
111,4.0,v2,219,76.25
112,11.0,v2,238,73.82
113,19.2,v1,169,63.77
114,46.5,v1,228,57.13
115,41.6,v2,217,60.78
116,51.6,v1,219,53.27
117,25.7,v1,248,67.41
118,28.3,v1,297,69.49
119,40.8,v1,247,59.45
120,23.3,v1,194,64.18
121,3.2,v1,207,74.69
122,19.2,v2,211,68.6
123,27.6,v1,304,70.99
124,14.0,v1,100,62.46
125,36.0,v2,205,62.16
126,51.0,v2,230,57.83
127,59.0,v1,174,47.41
128,49.2,v1,141,49.35
129,29.7,v1,189,62.03
130,53.1,v1,206,51.75
131,28.9,v1,201,62.49
132,41.9,v1,264,60.82
133,40.5,v2,308,66.08
134,34.5,v2,256,66.72
135,1.1,v1,122,69.69
136,13.7,v1,203,69.5
137,54.2,v2,222,57.0
138,7.4,v1,155,71.12
139,44.0,v1,172,53.86
140,50.7,v1,210,52.46
141,14.8,v1,158,65.09
142,8.7,v1,260,78.57
143,29.8,v2,201,64.18
144,26.8,v2,215,66.03
145,35.4,v2,206,63.21
146,32.8,v1,215,61.78
147,11.0,v1,264,75.4
148,27.0,v1,181,61.59
149,24.3,v1,213,67.51
150,30.8,v2,207,64.03
151,38.6,v1,253,63.11
152,42.1,v1,244,60.49
153,44.8,v2,234,60.71
154,44.5,v1,213,56.07
155,0.3,v1,151,71.84
156,47.3,v1,46,44.71
157,20.2,v2,275,70.86
158,38.0,v2,263,64.53
159,19.9,v1,92,59.92
160,43.2,v1,161,54.11
161,46.6,v1,173,51.81
162,47.8,v2,297,61.82
163,27.8,v2,258,68.52
164,25.2,v1,126,60.93
165,40.9,v2,273,66.03
166,10.8,v1,260,75.05
167,33.4,v2,156,58.34
168,34.8,v1,172,58.49
169,23.8,v1,282,71.78
170,31.8,v2,332,71.91
171,37.0,v1,369,72.48
172,12.4,v1,213,71.53
173,46.2,v1,177,55.58
174,30.5,v2,265,69.0
175,33.8,v2,229,64.7
176,48.7,v2,187,58.99
177,32.4,v2,364,73.81
178,59.3,v2,250,56.25
179,7.0,v1,235,76.1
180,34.8,v1,238,62.96
181,23.5,v2,294,73.36
182,43.7,v1,195,55.43
183,8.2,v2,224,75.18
184,29.7,v2,260,68.19
185,18.8,v1,199,67.84
186,54.8,v1,223,52.47
187,18.2,v1,220,69.79
188,6.4,v1,235,76.08
189,53.5,v1,199,53.07
190,1.7,v1,243,78.87
191,21.2,v1,215,66.4
192,28.7,v2,167,63.45
193,35.6,v2,221,63.39
194,13.0,v2,192,68.33
195,3.9,v1,198,75.68
196,28.6,v1,119,58.36
197,4.3,v1,258,77.3
198,18.1,v2,274,74.11
199,37.3,v1,175,56.39
200,43.8,v1,217,57.61
201,10.6,v2,157,68.28
202,41.0,v1,295,63.67
203,38.3,v2,159,61.33
204,0.8,v1,218,77.28
205,36.4,v2,277,66.85
206,18.0,v2,235,71.56
207,33.6,v1,92,52.17
208,41.8,v1,210,58.44
209,27.3,v2,288,72.79
210,50.1,v2,178,54.06
211,17.6,v2,364,79.2
212,33.8,v2,257,66.3
213,59.6,v1,195,48.57
214,25.8,v2,318,74.09
215,37.5,v2,312,69.53
216,40.8,v1,266,62.58
217,19.7,v2,342,79.02
218,43.6,v2,251,62.02
219,40.6,v2,244,60.66
220,17.4,v2,246,71.1
221,39.9,v2,319,68.81
222,19.0,v1,245,68.69
223,55.1,v1,252,54.46
224,37.1,v2,173,58.36
225,35.8,v1,112,52.98
226,35.2,v2,195,62.92
227,24.8,v2,180,65.15
228,3.6,v1,225,75.18
229,27.4,v1,103,57.52
230,5.7,v1,266,78.9
231,50.9,v2,104,48.48
232,36.8,v1,256,64.62
233,28.5,v2,266,68.17
234,59.2,v2,185,51.53
235,58.2,v2,210,54.91
236,16.8,v1,157,66.6
237,15.2,v2,304,75.05
238,54.8,v2,347,63.8
239,5.8,v2,240,77.17
240,13.9,v2,317,77.81
241,21.4,v2,166,63.63
242,12.1,v1,227,73.49
243,43.4,v2,207,58.33
244,33.8,v2,111,56.47
245,24.6,v2,185,64.5
246,8.7,v2,237,73.93
247,7.8,v1,194,72.51
248,7.9,v2,276,76.49
249,50.3,v2,386,69.29
250,15.0,v1,223,69.89
251,50.4,v1,121,49.15
252,33.7,v2,260,66.83
253,16.4,v2,175,66.18
254,24.2,v1,213,65.43
255,43.5,v2,253,62.89
256,15.0,v2,163,66.93
257,59.4,v1,114,43.73
258,11.1,v1,115,64.49
259,36.7,v1,155,56.74
260,3.6,v2,212,75.53
261,14.5,v1,294,73.64
262,28.9,v2,178,61.69
263,22.8,v2,301,76.34
264,37.8,v1,260,63.02
265,18.9,v1,181,66.22
266,27.8,v2,294,70.83
267,57.2,v1,158,46.2
268,14.3,v2,256,76.07
269,51.7,v1,139,45.99
270,4.0,v1,157,70.53
271,31.9,v1,269,66.02
272,25.9,v2,291,72.19
273,0.7,v2,296,80.14
274,58.2,v1,216,51.02
275,28.5,v2,200,63.83
276,28.4,v2,259,68.74
277,50.8,v1,91,44.63
278,43.8,v2,129,55.96
279,40.8,v1,262,62.09
280,34.0,v1,279,65.04
281,1.5,v1,101,68.41
282,15.6,v2,197,68.63
283,29.1,v2,275,68.42
284,10.3,v1,239,73.74
285,11.4,v2,187,69.74
286,49.0,v2,246,60.29
287,55.9,v2,255,58.54
288,56.9,v2,267,57.38
289,57.9,v2,314,60.88
290,9.6,v2,164,69.69
291,43.3,v2,273,63.31
292,37.1,v1,344,69.98
293,51.7,v1,315,62.58
294,19.4,v1,211,69.21
295,56.3,v1,207,51.2
296,41.9,v1,207,59.73
297,28.3,v1,216,65.39
298,4.3,v1,281,80.47
299,38.3,v1,79,50.29
300,27.9,v2,264,70.45
