request_id,latency_ms,prompt_tokens,batched,model_size_b,region,instance_type,server_id
1,93.53,1650,1,18.43,ap-south,large,16
2,180.93,1359,1,18.0,us-east,small,13
3,209.2,1730,1,32.91,us-east,small,17
4,175.5,1222,0,57.05,ap-south,medium,12
5,229.99,1484,1,10.41,eu-west,medium,14
6,188.4,1003,0,62.29,eu-west,small,9
7,160.41,869,0,34.53,eu-west,medium,8
8,83.33,268,0,11.16,ap-south,large,2
9,131.43,345,1,34.66,eu-west,medium,3
10,194.92,1807,1,52.41,eu-west,large,18
11,139.82,117,1,36.81,us-east,small,0
12,141.61,857,0,27.23,us-east,small,8
13,212.1,1088,1,64.42,us-east,medium,10
14,95.97,264,0,4.92,us-east,medium,2
15,177.44,733,1,16.7,eu-west,medium,7
16,101.04,912,1,8.57,eu-west,large,8
17,187.44,742,1,57.78,eu-west,medium,7
18,93.91,458,1,33.51,eu-west,large,4
19,183.53,1383,0,6.69,us-east,small,13
20,141.33,396,0,22.72,us-east,small,3
21,268.48,1621,0,58.59,eu-west,small,16
22,137.81,345,1,27.45,ap-south,medium,3
23,181.01,1888,0,11.89,us-east,medium,18
24,181.93,1640,1,59.67,us-east,medium,16
25,179.47,787,0,63.93,eu-west,medium,7
26,237.45,1553,0,48.0,eu-west,small,15
27,205.56,911,0,19.65,eu-west,medium,8
28,195.75,1087,0,17.55,eu-west,medium,10
29,233.56,1522,0,45.97,ap-south,medium,15
30,194.76,1758,0,62.46,us-east,small,17
31,174.07,623,0,6.2,us-east,small,5
32,105.31,212,1,39.34,ap-south,large,1
33,245.21,1965,1,50.83,eu-west,large,19
34,171.86,1880,0,2.61,ap-south,large,18
35,168.84,1177,0,25.24,eu-west,medium,11
36,160.61,1575,1,3.95,eu-west,large,15
37,194.6,1120,0,30.94,us-east,small,10
38,164.25,309,1,64.79,eu-west,medium,2
39,148.55,1651,0,18.93,us-east,medium,16
40,210.2,1928,0,15.87,us-east,small,19
41,168.7,1511,1,35.95,eu-west,small,14
42,209.85,811,0,61.52,eu-west,small,7
43,183.43,1686,1,18.51,ap-south,large,16
44,116.6,403,1,9.62,ap-south,medium,3
45,107.57,909,0,51.5,eu-west,large,8
46,189.35,740,0,18.17,us-east,small,7
47,188.93,1330,1,6.2,us-east,small,13
48,244.58,1862,0,69.22,ap-south,medium,18
49,155.33,1428,0,44.06,us-east,medium,14
50,176.86,1393,1,54.91,ap-south,medium,13
51,120.06,546,0,29.34,ap-south,large,5
52,167.15,1482,0,15.57,us-east,medium,14
53,134.38,684,1,30.53,eu-west,medium,6
54,188.11,1988,0,32.14,eu-west,large,19
55,164.41,921,0,55.43,ap-south,large,8
56,96.9,676,0,47.81,eu-west,large,6
57,120.03,585,1,1.47,eu-west,small,5
58,159.51,825,1,32.98,ap-south,large,7
59,145.4,1949,1,12.84,ap-south,large,19
60,215.06,733,1,61.55,us-east,small,7
61,124.92,310,0,39.42,eu-west,medium,2
62,210.62,681,1,58.27,us-east,small,6
63,149.44,1258,0,33.12,eu-west,medium,12
64,143.33,710,0,54.93,ap-south,large,6
65,198.76,1431,0,19.39,eu-west,small,14
66,157.99,145,1,53.02,us-east,small,0
67,137.61,1800,0,34.79,eu-west,large,17
68,149.95,477,1,38.96,ap-south,medium,4
69,187.88,1546,0,46.09,us-east,small,15
70,166.82,1336,0,55.91,us-east,small,13
71,112.15,385,0,43.28,ap-south,large,3
72,211.13,1611,0,61.92,eu-west,medium,16
73,151.23,661,0,69.47,ap-south,medium,6
74,198.4,1130,0,27.6,eu-west,medium,11
75,209.24,1961,0,58.76,ap-south,large,19
76,181.47,1270,0,58.84,us-east,small,12
77,130.79,116,0,42.54,ap-south,medium,0
78,134.27,74,1,32.5,us-east,small,0
79,183.56,693,1,38.09,eu-west,small,6
80,88.58,52,0,32.31,ap-south,large,0
81,211.71,1625,0,49.46,ap-south,large,16
82,239.51,1152,1,57.07,us-east,medium,11
83,155.74,618,1,27.46,us-east,small,5
84,200.12,1018,1,45.0,eu-west,small,9
85,84.79,838,0,7.93,us-east,large,8
86,128.67,1931,1,35.67,eu-west,large,19
87,195.09,1361,0,45.88,ap-south,large,13
88,151.02,979,0,12.95,eu-west,medium,9
89,167.98,1414,0,16.04,us-east,small,13
90,101.85,423,0,9.17,eu-west,medium,3
91,192.96,1171,1,21.96,us-east,small,11
92,179.11,1092,1,14.67,eu-west,medium,10
93,195.23,1040,1,45.16,eu-west,small,10
94,254.04,1766,1,45.54,us-east,small,17
95,170.4,945,1,28.71,eu-west,medium,9
96,96.08,221,0,27.78,us-east,medium,1
97,230.78,1171,1,35.86,ap-south,medium,11
98,206.45,1105,1,15.98,us-east,small,10
99,185.12,1423,1,18.27,eu-west,small,14
100,91.54,503,0,58.19,eu-west,large,4
101,157.44,1883,0,41.83,ap-south,large,18
102,160.6,935,0,5.18,us-east,small,9
103,217.93,1244,0,42.35,us-east,small,12
104,132.16,478,1,60.77,ap-south,large,4
105,123.78,1382,0,28.42,eu-west,medium,13
106,137.09,914,1,13.61,ap-south,large,8
107,187.47,792,0,29.81,eu-west,medium,7
108,192.1,1791,1,40.42,eu-west,medium,17
109,279.91,1790,1,64.65,eu-west,small,17
110,200.76,1947,1,26.98,us-east,small,19
111,155.49,698,0,50.43,us-east,small,6
112,211.83,808,1,62.14,us-east,small,7
113,210.38,1616,0,29.06,ap-south,large,16
114,190.41,1702,0,5.55,ap-south,large,16
115,174.08,1283,1,23.87,eu-west,medium,12
116,179.69,1849,1,9.31,ap-south,medium,18
117,145.8,746,1,16.16,us-east,medium,7
118,175.46,1258,1,25.08,eu-west,large,12
119,205.57,1890,1,8.57,eu-west,small,18
120,180.89,521,1,33.58,us-east,small,4
121,80.74,1494,1,2.96,eu-west,large,14
122,260.94,1714,0,35.56,us-east,small,17
123,138.52,1372,0,17.68,eu-west,medium,13
124,146.66,475,0,33.85,eu-west,small,4
125,119.86,1001,0,13.43,ap-south,large,9
126,173.5,423,0,49.79,eu-west,small,3
127,154.28,342,0,49.57,us-east,small,2
128,174.94,1978,0,29.71,ap-south,large,19
129,163.65,1756,0,31.2,ap-south,large,17
130,174.23,927,1,55.49,ap-south,large,8
131,118.54,709,0,9.42,ap-south,large,6
132,126.25,1715,1,13.08,ap-south,large,17
133,225.93,1242,0,57.67,eu-west,small,12
134,137.17,441,0,8.16,us-east,small,4
135,185.92,393,1,68.19,us-east,small,3
136,201.31,1763,0,53.38,ap-south,large,17
137,95.51,1473,1,12.97,eu-west,large,14
138,76.91,589,1,2.42,eu-west,large,5
139,135.76,779,0,7.91,ap-south,large,7
140,168.62,740,1,28.0,ap-south,large,7
141,152.08,918,1,7.88,ap-south,large,8
142,208.98,1524,0,21.93,us-east,medium,15
143,158.43,1704,0,60.41,us-east,large,16
144,192.86,512,1,57.46,eu-west,small,4
145,104.32,116,0,18.86,eu-west,medium,0
146,165.32,1310,0,43.97,eu-west,medium,12
147,97.81,94,0,33.71,us-east,medium,0
148,164.23,1858,1,58.09,ap-south,large,18
149,157.61,539,1,61.73,ap-south,large,5
150,197.57,1495,0,50.57,us-east,small,14
151,216.25,670,1,39.06,ap-south,small,6
152,119.39,441,1,31.35,us-east,medium,4
153,129.71,1149,0,30.11,eu-west,large,11
154,254.62,1815,1,27.65,eu-west,small,18
155,91.12,280,0,68.15,us-east,large,2
156,268.65,1047,1,65.57,ap-south,large,10
157,127.24,1626,0,65.81,ap-south,large,16
158,152.08,1509,1,8.21,us-east,small,14
159,155.98,332,1,13.61,eu-west,small,2
160,232.93,1597,1,19.28,eu-west,small,15
161,209.92,1517,0,42.04,us-east,small,15
162,92.58,141,0,36.42,ap-south,large,0
163,108.0,1390,1,9.44,eu-west,large,13
164,125.82,394,0,42.24,ap-south,medium,3
165,115.52,231,1,15.39,ap-south,medium,1
166,55.89,189,1,17.54,us-east,large,1
167,232.26,1622,1,5.09,ap-south,medium,16
168,150.63,944,1,43.7,us-east,medium,9
169,89.49,147,0,59.56,eu-west,large,0
170,121.06,172,0,68.3,eu-west,medium,1
171,171.73,888,1,48.19,eu-west,medium,8
172,223.25,1041,0,46.86,us-east,small,10
173,135.37,765,1,11.76,eu-west,medium,7
174,123.11,196,0,54.4,eu-west,medium,1
175,92.38,140,0,17.27,us-east,medium,0
176,86.55,495,0,4.27,us-east,medium,4
177,234.75,1988,1,66.53,ap-south,large,19
178,150.3,268,0,49.1,us-east,small,2
179,163.02,1763,0,43.44,eu-west,large,17
180,149.0,513,1,41.8,us-east,small,4
181,90.95,181,0,19.94,ap-south,large,1
182,223.48,1170,1,38.95,us-east,small,11
183,185.49,1332,0,54.24,ap-south,large,13
184,206.19,1354,0,65.95,us-east,medium,13
185,207.22,1225,0,57.41,us-east,small,12
186,99.18,207,0,49.95,ap-south,large,1
187,170.3,1268,0,40.64,us-east,small,12
188,152.08,206,0,45.5,eu-west,small,1
189,228.72,1808,0,67.32,eu-west,small,18
190,196.15,1363,0,62.59,eu-west,small,13
